SPERANZA VITA MASCHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regioni;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022*;? 2022-2007 anni;? 2022-2021 anni;? 2022-2019 anni;;;;;;;;;;;;;;;;;;;;;;;;;
Piemonte;78,4;78,6;78,7;79,1;79,4;79,6;79,7;80,2;79,9;80,4;80,4;80,5;80,8;79,1;80,2;80,3;1,9;0,1;-0,5;;;;;;;;;;;;;;;;;;;;;;;;;
Valle d'Aosta;77,2;78,7;78,1;78,3;78,6;79,6;79,7;79,7;78,8;79,4;79,4;79,1;79,9;78,4;80,3;80,4;3,2;0,1;0,5;;;;;;;;;;;;;;;;;;;;;;;;;
Lombardia;78,9;78,8;79,1;79,5;79,9;79,9;80,3;80,8;80,6;81,0;81,2;81,3;81,5;79,0;80,9;81,1;2,2;0,2;-0,4;;;;;;;;;;;;;;;;;;;;;;;;;
Bolzano-Bolzen;79,3;79,3;79,9;80,3;80,6;80,6;80,8;81,2;80,8;81,1;81,4;81,7;81,8;80,7;81,3;81,2;1,9;-0,1;-0,6;;;;;;;;;;;;;;;;;;;;;;;;;
Trento;79,0;79,2;79,6;79,8;80,5;80,8;80,8;81,3;81,2;81,4;81,6;82,0;82,0;80,5;81,5;81,9;2,9;0,4;-0,1;;;;;;;;;;;;;;;;;;;;;;;;;
Veneto;79,1;79,0;79,5;79,8;80,0;80,1;80,3;80,8;80,7;81,0;81,3;81,4;81,7;80,7;81,1;81,2;2,1;0,1;-0,5;;;;;;;;;;;;;;;;;;;;;;;;;
Friuli Venezia Giulia;78,6;78,5;78,9;79,1;79,3;79,3;79,5;80,1;79,9;80,4;79,9;80,8;81,3;80,3;79,9;80,4;1,8;0,5;-0,9;;;;;;;;;;;;;;;;;;;;;;;;;
Liguria;78,6;78,7;78,6;79,2;79,2;79,4;79,5;80,1;79,9;80,5;80,6;80,5;80,9;79,3;80,6;80,4;1,8;-0,2;-0,5;;;;;;;;;;;;;;;;;;;;;;;;;
Emilia-Romagna;79,2;79,4;79,7;79,9;80,3;80,2;80,5;81,0;80,9;81,2;81,2;81,5;81,6;80,3;80,9;81,2;2,0;0,3;-0,4;;;;;;;;;;;;;;;;;;;;;;;;;
Toscana;79,3;79,4;79,7;80,1;80,3;80,1;80,5;81,0;80,6;81,2;81,3;81,6;81,7;81,1;81,2;81,3;2,0;0,1;-0,4;;;;;;;;;;;;;;;;;;;;;;;;;
Umbria;79,3;79,3;79,7;79,8;80,3;80,1;80,3;80,9;80,6;81,1;81,3;81,8;82,1;81,2;81,0;81,2;1,9;0,2;-0,9;;;;;;;;;;;;;;;;;;;;;;;;;
Marche;79,8;79,8;80,1;80,4;80,5;80,6;80,7;81,0;80,7;81,1;81,2;81,6;81,9;81,0;81,1;81,2;1,4;0,1;-0,7;;;;;;;;;;;;;;;;;;;;;;;;;
Lazio;78,3;78,5;78,5;78,7;79,0;79,1;79,5;80,0;80,1;80,6;80,4;81,0;81,4;80,5;80,4;80,7;2,4;0,3;-0,7;;;;;;;;;;;;;;;;;;;;;;;;;
Abruzzo;78,7;78,7;78,6;79,1;79,1;79,6;79,8;80,2;80,2;80,6;80,3;80,8;81,2;80,2;80,4;80,3;1,6;-0,1;-0,9;;;;;;;;;;;;;;;;;;;;;;;;;
Molise;78,8;78,1;78,9;79,0;79,1;79,5;79,7;79,7;79,6;80,1;79,9;80,1;80,5;79,8;78,7;79,3;0,5;0,6;-1,2;;;;;;;;;;;;;;;;;;;;;;;;;
Campania;76,9;77,1;77,3;77,6;77,6;78,0;78,1;78,5;78,3;78,9;78,9;79,3;79,7;78,5;78,6;78,8;1,9;0,2;-0,9;;;;;;;;;;;;;;;;;;;;;;;;;
Puglia;78,8;79,2;79,2;79,7;79,7;80,0;80,2;80,5;80,3;80,8;80,6;81,0;81,4;80,2;79,9;80,3;1,5;0,4;-1,1;;;;;;;;;;;;;;;;;;;;;;;;;
Basilicata;78,6;79,2;79,0;79,4;79,5;79,9;79,5;79,9;79,7;80,3;79,9;80,3;80,4;80,0;80,0;79,8;1,2;-0,2;-0,6;;;;;;;;;;;;;;;;;;;;;;;;;
Calabria;78,5;78,6;78,6;78,9;79,2;79,2;79,4;79,6;79,6;80,0;79,9;80,3;80,3;79,9;79,4;79,5;1,0;0,1;-0,8;;;;;;;;;;;;;;;;;;;;;;;;;
Sicilia;77,9;78,2;78,2;78,7;78,6;78,8;79,0;79,5;79,4;79,8;79,5;79,9;80,2;79,4;79,2;79,4;1,5;0,2;-0,8;;;;;;;;;;;;;;;;;;;;;;;;;
Sardegna;78,3;78,5;78,4;78,8;78,9;79,1;79,2;79,7;79,8;80,2;80,3;80,7;80,4;79,8;79,9;79,6;1,3;-0,3;-0,8;;;;;;;;;;;;;;;;;;;;;;;;;
Italia;78,6;78,7;78,9;79,3;79,5;79,6;79,8;80,3;80,1;80,6;80,6;80,9;81,1;79,8;80,3;80,5;1,9;0,2;-0,6;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Valori stimati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
